   1 , eos_01_modis_01.flt   filters from PFM_L1B_LUT_4-30-99
Number of data points:
101
Wavenumber (cm-1)   Filter response
    14667.000000       0.000000
    14683.180000       0.010938
    14699.360000       0.013680
    14715.540000       0.017705
    14731.720000       0.022455
    14747.900000       0.030912
    14764.080000       0.042043
    14780.260000       0.054564
    14796.440000       0.069834
    14812.620000       0.089286
    14828.800000       0.114307
    14844.980000       0.147575
    14861.160000       0.192477
    14877.340000       0.247121
    14893.520000       0.307157
    14909.700000       0.369021
    14925.880000       0.429551
    14942.060000       0.492081
    14958.240000       0.552547
    14974.420000       0.602839
    14990.600000       0.646694
    15006.780000       0.686867
    15022.960000       0.724167
    15039.140000       0.758980
    15055.320000       0.786941
    15071.500000       0.811067
    15087.680000       0.838034
    15103.860000       0.867935
    15120.040000       0.898414
    15136.220000       0.927534
    15152.400000       0.953550
    15168.580000       0.976518
    15184.760000       0.993241
    15200.940000       1.000000
    15217.120000       0.999656
    15233.300000       0.995185
    15249.480000       0.988683
    15265.660000       0.982194
    15281.840000       0.975099
    15298.020000       0.965944
    15314.200000       0.954700
    15330.380000       0.941406
    15346.560000       0.926916
    15362.740000       0.912319
    15378.920000       0.898713
    15395.100000       0.887196
    15411.280000       0.877446
    15427.460000       0.867914
    15443.640000       0.857512
    15459.820000       0.846649
    15476.000000       0.835954
    15492.180000       0.826049
    15508.360000       0.817658
    15524.540000       0.811571
    15540.720000       0.807024
    15556.900000       0.802935
    15573.080000       0.799117
    15589.260000       0.795639
    15605.440000       0.792473
    15621.620000       0.789597
    15637.800000       0.787683
    15653.980000       0.786519
    15670.160000       0.784464
    15686.340000       0.780856
    15702.520000       0.776523
    15718.700000       0.771864
    15734.880000       0.767244
    15751.060000       0.762939
    15767.240000       0.758693
    15783.420000       0.754878
    15799.600000       0.751976
    15815.780000       0.749633
    15831.960000       0.747613
    15848.140000       0.745869
    15864.320000       0.744350
    15880.500000       0.743195
    15896.680000       0.742706
    15912.860000       0.742467
    15929.040000       0.742293
    15945.220000       0.742963
    15961.400000       0.743827
    15977.580000       0.743820
    15993.760000       0.741870
    16009.940000       0.741664
    16026.120000       0.741747
    16042.300000       0.724842
    16058.480000       0.678390
    16074.660000       0.613444
    16090.840000       0.537907
    16107.020000       0.458152
    16123.200000       0.380532
    16139.380000       0.301611
    16155.560000       0.219078
    16171.740000       0.149412
    16187.920000       0.104737
    16204.100000       0.074539
    16220.280000       0.052987
    16236.460000       0.036085
    16252.640000       0.019850
    16268.820000       0.007753
    16285.000000       0.000000
