   7 , eos_01_modis_07.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
     4596.000000       0.000000
     4598.630000       0.010509
     4601.260000       0.011980
     4603.890000       0.014041
     4606.520000       0.016851
     4609.150000       0.020251
     4611.780000       0.024004
     4614.410000       0.028511
     4617.040000       0.034300
     4619.670000       0.041396
     4622.300000       0.049492
     4624.930000       0.059199
     4627.560000       0.071177
     4630.190000       0.085708
     4632.820000       0.102390
     4635.450000       0.121258
     4638.080000       0.142382
     4640.710000       0.166108
     4643.340000       0.192772
     4645.970000       0.221311
     4648.600000       0.250446
     4651.230000       0.279488
     4653.860000       0.309508
     4656.490000       0.339782
     4659.120000       0.369169
     4661.750000       0.396707
     4664.380000       0.422904
     4667.010000       0.447868
     4669.640000       0.471471
     4672.270000       0.493525
     4674.900000       0.513728
     4677.530000       0.532495
     4680.160000       0.550466
     4682.790000       0.568278
     4685.420000       0.585725
     4688.050000       0.602630
     4690.680000       0.619282
     4693.310000       0.636050
     4695.940000       0.652826
     4698.570000       0.669532
     4701.200000       0.686621
     4703.830000       0.704554
     4706.460000       0.723793
     4709.090000       0.744248
     4711.720000       0.765169
     4714.350000       0.785767
     4716.980000       0.805600
     4719.610000       0.825318
     4722.240000       0.844634
     4724.870000       0.862948
     4727.500000       0.879591
     4730.130000       0.894239
     4732.760000       0.907595
     4735.390000       0.920523
     4738.020000       0.933921
     4740.650000       0.948952
     4743.280000       0.964709
     4745.910000       0.979016
     4748.540000       0.989593
     4751.170000       0.995931
     4753.800000       0.999648
     4756.430000       1.000000
     4759.060000       0.995677
     4761.690000       0.985698
     4764.320000       0.970823
     4766.950000       0.950338
     4769.580000       0.923524
     4772.210000       0.889721
     4774.840000       0.848039
     4777.470000       0.799843
     4780.100000       0.747463
     4782.730000       0.693355
     4785.360000       0.637049
     4787.990000       0.576541
     4790.620000       0.514648
     4793.250000       0.454795
     4795.880000       0.399420
     4798.510000       0.346182
     4801.140000       0.295705
     4803.770000       0.249467
     4806.400000       0.209072
     4809.030000       0.174922
     4811.660000       0.146147
     4814.290000       0.121803
     4816.920000       0.100843
     4819.550000       0.083023
     4822.180000       0.069249
     4824.810000       0.058562
     4827.440000       0.049732
     4830.070000       0.041641
     4832.700000       0.035015
     4835.330000       0.029963
     4837.960000       0.025949
     4840.590000       0.022385
     4843.220000       0.019175
     4845.850000       0.016685
     4848.480000       0.014682
     4851.110000       0.012873
     4853.740000       0.011096
     4856.370000       0.010379
     4859.000000       0.000000
